Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
,SK Medium,25-07-2020 ,15:08:23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,15:09:57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,15:19:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,15:21:41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,16:20:52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,16:21:55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,16:28:23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,16:29:21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,16:31:32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,17:19:26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,18:10:34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,20:04:22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,20:10:12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,20:11:31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,20:13:32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,20:14:25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,20:16:32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,SK Medium,25-07-2020 ,20:26:48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
